negeri,parlimen,calon,parti/gabungan,undi,majoriti
wp kuala lumpur,batu,PRABAKARAN PARAMESWARAN,Pakatan Harapan,45716,22241
wp kuala lumpur,batu,USTAZ AZHAR YAHYA,Perikatan Nasional,23475,
wp kuala lumpur,batu,A. KOHILAN PILLAY,Barisan Nasional,10398,
wp kuala lumpur,batu,TIAN CHUA,BEBAS,4603,
wp kuala lumpur,batu,WAN AZLIANA,PARTI PEJUANG TANAHAIR,849,
wp kuala lumpur,batu,SITI KASIM,BEBAS,653,
wp kuala lumpur,batu,NUR FATHIAH SYAZWANA @ CLEO,BEBAS,628,
wp kuala lumpur,batu,NATHAN BATU,PARTI WARISAN SABAH,575,
wp kuala lumpur,batu,ZULKIFLI FATTAH,PARTI RAKYAT MALAYSIA,137,
wp kuala lumpur,batu,TOO GAO LAN,BEBAS,112,
